painel,rotulo_projeto,LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,DisplayName,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,STATUS,EXAMPLE_UCUM_UNITS,COMMON_TEST_RANK,ptBR_COMPONENT,ptBR_PROPERTY,ptBR_TIME_ASPCT,ptBR_SYSTEM,ptBR_SCALE_TYP,ptBR_METHOD_TYP,ptBR_SHORTNAME,ptBR_RELATEDNAMES2
Lipidico,Colesterol nao-HDL,43396-1,Cholesterol non HDL [Mass/volume] in Serum or Plasma,NonHDLc SerPl-mCnc,Cholesterol non HDL [Mass/Vol],Cholesterol.non HDL,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mg/dL,116,Colesterol.não HDL,MCnc,Pt,Sor/Plas,Qn,,NonHDLc SerPl-mCnc,; NonHDLc; LDL + IDL + VLDL; Cholest; Chol; Choles; Lipid; Cholesterol total; Cholesterols; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Glicemia,Glicose,2345-7,Glucose [Mass/volume] in Serum or Plasma,Glucose SerPl-mCnc,Glucose [Mass/Vol],Glucose,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mg/dL,6,Glicose,MCnc,Pt,Sor/Plas,Qn,,Glicose SerPl-mCnc,Glu; Gluc; Glucoseur; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Glicemia,Hemoglobina glicada,4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,HbA1c MFr Bld,HbA1c (Bld) [Mass fraction],Hemoglobin A1c/Hemoglobin.total,MFr,Pt,Bld,Qn,,CHEM,ACTIVE,%,88,Hemoglobina A1c/Hemoglobina.total,SFr,Pt,SgTotal,Qn,,Hgb A1c SFr Sg,; Hgb A1c; Glycohemogolobin; Glycohaemogolobin; GHb; HA1c; HBA1c; Glycated hemoglobin; Glycosylated hemoglobin; Hb; Haemoglobin; Substance fraction; Percent; Point in time; Random; Blood; WB; Whole blood; Quantitative; QNT; Quant; Quan; Tot; Totl; HEMATOLOGY/CELL COUNTS; HEMATOLOGY/CELL COUNTS
Glicemia,Insulina,20448-7,Insulin [Units/volume] in Serum or Plasma,Insulin SerPl-aCnc,Insulin Qn,Insulin,ACnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,u[IU]/mL,864,Insulina,ACnc,Pt,Sor/Plas,Qn,,Insulin SerPl-aCnc,Insul; Humulin; HUM; IH7; Lente; NPH; Semilente; Ultralente; Sliding; Arbitrary concentration; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Glicemia,Peptideo C,1986-9,C peptide [Mass/volume] in Serum or Plasma,C peptide SerPl-mCnc,C peptide [Mass/Vol],C peptide,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,ng/mL,875,Peptídeo C,MCnc,Pt,Sor/Plas,Qn,,C peptide SerPl-mCnc,Connecting peptide of insulin; Pro-insulin c peptide; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Pept; Chemistry
Renal,Creatinina,2160-0,Creatinine [Mass/volume] in Serum or Plasma,Creat SerPl-mCnc,Creatinine [Mass/Vol],Creatinine,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mg/dL,4,Creatinina,MCnc,Pt,Sor/Plas,Qn,,Creat SerPl-mCnc,; Creat; CR; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Renal,Ureia,3091-6,Urea [Mass/volume] in Serum or Plasma,Urea SerPl-mCnc,Urea [Mass/Vol],Urea,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mg/dL,1025,Uréia,MCnc,Pt,Sor/Plas,Qn,,Urea SerPl-mCnc,Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Renal,Acido urico,3084-1,Urate [Mass/volume] in Serum or Plasma,Urate SerPl-mCnc,Urate [Mass/Vol],Urate,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,mg/dL,181,Urato,MCnc,Pt,Sor/Plas,Qn,,Urate SerPl-mCnc,UA; Urates; Uric acid; Mass concentration; Level; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
Renal,Albumina urinaria,1754-1,Albumin [Mass/volume] in Urine,Albumin Ur-mCnc,Albumin (U) [Mass/Vol],Albumin,MCnc,Pt,Urine,Qn,,CHEM,ACTIVE,g/dL,272,Albumina,MCnc,Pt,Urina,Qn,,Albumin Ur-mCnc,Protein.albumin; Alb; Mass concentration; Level; Point in time; Random; Ur; UR; Urn; UA; Quantitative; QNT; Quant; Quan; Chemistry
Hepatica,ALT (TGP),1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,ALT SerPl-cCnc,ALT [Catalytic activity/Vol],Alanine aminotransferase,CCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE,U/L,24,Alanina aminotransferase,CCnc,Pt,Sor/Plas,Qn,,ALT SerPl-cCnc,; ALT; Glutamic-pyruvic transferase; SGPT; Alanine transaminase; Ala; L-alanine; Alpha alanine; Catalytic Concentration; Point in time; Random; SerPl; SerPlas; SerP; Serum; SR; Plasma; Pl; Plsm; Quantitative; QNT; Quant; Quan; Chemistry
